0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,89.0,-13.0,99.0,-11.0,111.0,-15.0,90.0,-8.0,127.0,-17.0,85.0,-11.0,82.0,-20.0,78.0,-24.0,54.0,-15.0,110.0,-26.0,18.0,1.0,100.0,-25.0,93.4,146.6,0.0
1.0,33.0,-13.0,24.0,2.0,39.0,-14.0,27.0,5.0,49.0,-14.0,23.0,12.0,37.0,6.0,39.0,6.0,15.0,27.0,87.0,33.0,-6.0,-12.0,159.0,16.0,23.8,138.8,1.0
1.0,6.0,-28.0,-5.0,17.0,11.0,-19.0,19.0,15.0,-7.0,3.0,24.0,14.0,40.0,-8.0,25.0,11.0,71.0,-10.0,17.0,-7.0,47.0,11.0,7.0,23.0,-23.6,132.4,2.0
1.0,1.0,-16.0,-10.0,1.0,19.0,-14.0,-8.0,-4.0,31.0,-10.0,-25.0,-11.0,-8.0,-12.0,-15.0,-5.0,-3.0,12.0,-13.0,-1.0,69.0,63.0,6.0,-22.0,-19.0,122.4,3.0
1.0,-19.0,-19.0,9.0,-27.0,-50.0,8.0,-6.0,-3.0,-106.0,34.0,-21.0,0.0,-54.0,12.0,-34.0,0.0,-80.0,22.0,-38.0,24.0,-80.0,20.0,1.0,34.0,-3.0,109.6,4.0
1.0,-62.0,-29.0,5.0,-39.0,-101.0,-13.0,36.0,-46.0,-132.0,-4.0,10.0,-29.0,-41.0,-5.0,-31.0,-15.0,-33.0,-8.0,-72.0,-12.0,4.0,20.0,-103.0,4.0,-42.4,84.4,5.0
1.0,-94.0,20.0,-34.0,6.0,-74.0,3.0,-43.0,8.0,-53.0,15.0,-15.0,24.0,-70.0,9.0,-41.0,16.0,-41.0,-6.0,-61.0,3.0,-2.0,-15.0,-100.0,-4.0,-91.0,62.0,6.0
1.0,-68.0,36.0,-72.0,21.0,-65.0,37.0,-63.0,15.0,-80.0,-5.0,-75.0,-19.0,-74.0,-4.0,-59.0,-13.0,-146.0,-20.0,-47.0,-30.0,-131.0,-76.0,2.0,-38.0,-52.4,97.2,7.0
1.0,-38.0,25.0,-89.0,44.0,-41.0,7.0,-121.0,24.0,-23.0,11.0,-122.0,4.0,-71.0,3.0,-77.0,11.0,-108.0,8.0,8.0,14.0,-240.0,39.0,3.0,20.0,-32.2,123.2,8.0
1.0,-47.0,10.0,-68.0,0.0,-60.0,4.0,-79.0,4.0,-43.0,6.0,-89.0,0.0,-70.0,7.0,-84.0,10.0,-16.0,-2.0,-141.0,-1.0,39.0,-38.0,-126.0,-29.0,-38.8,138.2,9.0
1.0,-6.0,10.0,-65.0,-1.0,4.0,0.0,-61.0,4.0,-27.0,-28.0,-37.0,18.0,1.0,1.0,-32.0,-3.0,27.0,-3.0,-47.0,2.0,-15.0,1.0,-93.0,10.0,-21.8,148.2,10.0
1.0,-16.0,-1.0,-25.0,2.0,20.0,0.0,-27.0,0.0,89.0,-9.0,-12.0,-1.0,18.0,-6.0,2.0,-2.0,49.0,-11.0,13.0,-6.0,86.0,-1.0,8.0,-8.0,-24.6,153.4,11.0
1.0,49.0,18.0,51.0,5.0,34.0,13.0,53.0,2.0,24.0,4.0,58.0,1.0,44.0,9.0,48.0,10.0,65.0,2.0,29.0,6.0,92.0,-8.0,3.0,3.0,61.0,152.6,12.0
1.0,90.0,1.0,132.0,-24.0,90.0,-2.0,120.0,-18.0,114.0,6.0,131.0,-10.0,92.0,-4.0,122.0,-13.0,64.0,-1.0,94.0,-7.0,4.0,3.0,18.0,-6.0,120.6,153.4,13.0
1.0,57.0,-3.0,72.0,-14.0,48.0,0.0,90.0,-21.0,64.0,-7.0,98.0,-15.0,56.0,-15.0,64.0,-20.0,35.0,-17.0,129.0,-14.0,56.0,-12.0,237.0,0.0,71.8,151.4,14.0
1.0,28.0,-25.0,58.0,1.0,23.0,-19.0,61.0,16.0,-37.0,11.0,71.0,24.0,71.0,11.0,76.0,14.0,52.0,14.0,82.0,13.0,-22.0,-27.0,113.0,41.0,34.4,143.8,15.0
1.0,77.0,-10.0,21.0,-3.0,90.0,-5.0,20.0,-6.0,131.0,-9.0,35.0,-2.0,56.0,-8.0,29.0,-2.0,125.0,14.0,-6.0,22.0,206.0,60.0,-18.0,2.0,35.2,129.2,16.0
1.0,87.0,-19.0,38.0,-12.0,95.0,-2.0,22.0,-5.0,105.0,-4.0,-35.0,-11.0,44.0,7.0,13.0,2.0,18.0,21.0,9.0,2.0,11.0,39.0,23.0,7.0,46.2,110.0,17.0
1.0,7.0,-17.0,8.0,4.0,7.0,-17.0,17.0,11.0,-37.0,4.0,-3.0,6.0,-2.0,6.0,0.0,5.0,-8.0,9.0,-18.0,-5.0,-7.0,-4.0,-46.0,-18.0,-12.2,101.6,18.0
1.0,-100.0,5.0,-56.0,24.0,-116.0,10.0,-42.0,9.0,-134.0,17.0,-29.0,19.0,-86.0,-11.0,-65.0,1.0,-62.0,-23.0,-70.0,-8.0,-6.0,5.0,-97.0,-12.0,-94.6,87.2,19.0
1.0,-118.0,-3.0,-96.0,-6.0,-126.0,-13.0,-100.0,-4.0,-128.0,-11.0,-92.0,-16.0,-112.0,-11.0,-86.0,-11.0,-182.0,-21.0,-39.0,-18.0,-177.0,-31.0,6.0,-9.0,-110.2,110.8,20.0
1.0,-44.0,24.0,-85.0,5.0,-39.0,17.0,-88.0,10.0,-37.0,19.0,-95.0,-7.0,-66.0,17.0,-83.0,15.0,-62.0,50.0,-57.0,39.0,-161.0,46.0,-35.0,33.0,-33.2,113.6,21.0
1.0,-37.0,8.0,-62.0,-10.0,-28.0,6.0,-81.0,-11.0,-4.0,-17.0,-90.0,2.0,-31.0,9.0,-61.0,0.0,3.0,8.0,-125.0,-12.0,8.0,-22.0,-181.0,-3.0,-31.2,114.8,22.0
1.0,-74.0,11.0,-71.0,4.0,-62.0,7.0,-64.0,3.0,-44.0,-3.0,-41.0,12.0,-56.0,2.0,-57.0,9.0,-36.0,-32.0,-28.0,-2.0,12.0,-17.0,-10.0,7.0,-67.8,113.8,23.0
1.0,-22.0,1.0,-10.0,6.0,-41.0,13.0,-6.0,4.0,-54.0,6.0,-4.0,0.0,-23.0,-4.0,-7.0,-7.0,-28.0,-7.0,-4.0,-3.0,-35.0,-19.0,-4.0,-5.0,-14.8,130.6,24.0
1.0,12.0,9.0,22.0,-3.0,31.0,-6.0,15.0,-2.0,52.0,-29.0,20.0,-5.0,18.0,-1.0,19.0,-1.0,-1.0,3.0,19.0,4.0,-15.0,3.0,2.0,-2.0,47.0,137.4,25.0
1.0,0.0,14.0,17.0,-5.0,-12.0,8.0,9.0,-4.0,-28.0,35.0,25.0,3.0,4.0,0.0,15.0,1.0,3.0,-1.0,9.0,-1.0,-4.0,-1.0,8.0,6.0,16.2,142.6,26.0
1.0,0.0,0.0,1.0,4.0,-5.0,1.0,2.0,0.0,-1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,-1.0,-2.0,-2.0,-3.0,1.0,1.0,0.0,2.6,147.6,27.0
1.0,4.0,-11.0,0.0,-1.0,15.0,-3.0,2.0,1.0,14.0,-11.0,-2.0,-4.0,3.0,-1.0,1.0,-1.0,1.0,2.0,2.0,-6.0,2.0,1.0,0.0,1.0,0.0,147.6,28.0
1.0,6.0,-3.0,-1.0,-2.0,4.0,0.0,0.0,3.0,6.0,0.0,-8.0,5.0,1.0,1.0,-1.0,0.0,3.0,-2.0,-1.0,0.0,3.0,-2.0,-3.0,-2.0,-0.2,145.6,29.0
1.0,3.0,0.0,-1.0,-1.0,-2.0,2.0,0.0,-1.0,-5.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,3.0,0.0,-3.0,-2.0,-4.0,-0.4,144.8,30.0
1.0,6.0,2.0,-4.0,2.0,5.0,0.0,0.0,0.0,-4.0,7.0,-4.0,1.0,-2.0,4.0,-5.0,2.0,-5.0,3.0,-1.0,-2.0,0.0,-1.0,1.0,0.0,-26.4,144.4,31.0
1.0,-10.0,-8.0,-16.0,5.0,2.0,-15.0,-12.0,2.0,9.0,-19.0,-14.0,-1.0,3.0,-5.0,-8.0,-4.0,-3.0,-6.0,-6.0,4.0,6.0,-5.0,-5.0,-8.0,-19.0,140.2,32.0
1.0,-23.0,-7.0,-19.0,1.0,-21.0,-6.0,-16.0,4.0,-18.0,-5.0,-17.0,9.0,-9.0,1.0,-14.0,4.0,-1.0,1.0,-11.0,-5.0,7.0,3.0,-3.0,1.0,-23.4,139.4,33.0
1.0,4.0,1.0,9.0,-7.0,-3.0,5.0,4.0,-4.0,3.0,6.0,8.0,-4.0,6.0,-4.0,11.0,-1.0,44.0,-4.0,7.0,6.0,55.0,-4.0,6.0,6.0,14.0,138.4,34.0
1.0,56.0,22.0,83.0,-6.0,41.0,18.0,81.0,-15.0,39.0,27.0,78.0,-5.0,41.0,7.0,58.0,4.0,18.0,11.0,46.0,-3.0,16.0,0.0,4.0,5.0,77.0,132.8,35.0
1.0,24.0,-17.0,97.0,-8.0,39.0,-17.0,111.0,-10.0,66.0,-21.0,135.0,-15.0,52.0,-17.0,96.0,-27.0,30.0,-26.0,163.0,-29.0,-84.0,-10.0,154.0,-48.0,86.2,135.4,36.0
1.0,-2.0,-20.0,105.0,1.0,-20.0,-5.0,118.0,6.0,-21.0,5.0,147.0,6.0,3.0,5.0,72.0,12.0,7.0,9.0,70.0,20.0,66.0,9.0,190.0,19.0,70.8,144.2,37.0
1.0,82.0,-6.0,65.0,-9.0,95.0,1.0,78.0,11.0,106.0,-3.0,90.0,4.0,100.0,-10.0,74.0,-10.0,123.0,-34.0,80.0,-28.0,44.0,-38.0,-4.0,27.0,70.2,141.0,38.0
1.0,95.0,6.0,37.0,2.0,81.0,1.0,38.0,-7.0,65.0,2.0,42.0,-5.0,92.0,-1.0,38.0,0.0,123.0,6.0,7.0,18.0,247.0,28.0,-2.0,12.0,47.4,128.6,39.0
1.0,147.0,11.0,32.0,12.0,147.0,0.0,-2.0,-4.0,108.0,-1.0,-57.0,-4.0,93.0,4.0,61.0,3.0,61.0,42.0,9.0,24.0,58.0,6.0,22.0,-24.0,49.2,115.2,40.0
1.0,53.0,-14.0,23.0,3.0,98.0,-15.0,14.0,5.0,137.0,-36.0,-30.0,-13.0,29.0,6.0,7.0,-1.0,14.0,-6.0,26.0,-1.0,5.0,1.0,31.0,-10.0,17.8,119.0,41.0
1.0,-51.0,-7.0,-22.0,23.0,-67.0,-6.0,7.0,17.0,-97.0,22.0,5.0,15.0,-22.0,-14.0,-2.0,-4.0,-24.0,-17.0,-23.0,-35.0,-11.0,-10.0,-40.0,-33.0,-63.8,120.2,42.0
1.0,-103.0,1.0,-10.0,-21.0,-138.0,15.0,2.0,-16.0,-205.0,12.0,5.0,-14.0,-101.0,14.0,-68.0,2.0,-82.0,-3.0,-47.0,6.0,-4.0,-8.0,-1.0,4.0,-71.0,129.0,43.0
1.0,-94.0,4.0,-34.0,-10.0,-83.0,-6.0,-44.0,-18.0,-84.0,5.0,-41.0,-5.0,-88.0,-2.0,-32.0,3.0,-175.0,10.0,-5.0,3.0,-236.0,25.0,8.0,23.0,-65.4,145.8,44.0
1.0,-69.0,21.0,-88.0,16.0,-76.0,35.0,-86.0,25.0,-60.0,22.0,-62.0,8.0,-83.0,15.0,-100.0,12.0,-72.0,-5.0,-85.0,-13.0,-117.0,19.0,-27.0,-31.0,-67.4,146.6,45.0
1.0,-27.0,-5.0,-136.0,7.0,-35.0,-26.0,-161.0,5.0,-47.0,-20.0,-198.0,-7.0,-46.0,-11.0,-112.0,-9.0,5.0,-1.0,-177.0,4.0,11.0,-29.0,-242.0,0.0,-46.2,145.0,46.0
1.0,-56.0,19.0,-103.0,12.0,-12.0,13.0,-113.0,5.0,58.0,-8.0,-94.0,26.0,-41.0,11.0,-67.0,17.0,-9.0,14.0,-62.0,21.0,-2.0,2.0,-103.0,19.0,-63.6,139.6,47.0
1.0,-50.0,-3.0,-54.0,-4.0,-62.0,4.0,-50.0,1.0,-63.0,-1.0,-35.0,2.0,-41.0,-3.0,-40.0,-4.0,-55.0,-10.0,-17.0,3.0,-54.0,1.0,-3.0,16.0,-51.2,146.8,48.0
1.0,0.0,7.0,7.0,-1.0,-11.0,4.0,9.0,3.0,-13.0,13.0,19.0,0.0,-6.0,-1.0,4.0,-2.0,-22.0,7.0,5.0,-2.0,-30.0,-4.0,2.0,-1.0,5.8,144.2,49.0
1.0,11.0,3.0,8.0,1.0,27.0,0.0,11.0,-9.0,37.0,-15.0,14.0,-10.0,13.0,1.0,16.0,1.0,9.0,7.0,14.0,4.0,1.0,-1.0,4.0,0.0,8.4,147.6,50.0
1.0,5.0,-1.0,3.0,1.0,-14.0,3.0,5.0,4.0,-27.0,19.0,-4.0,8.0,-2.0,-3.0,-7.0,-2.0,-1.0,-1.0,-1.0,1.0,-2.0,0.0,-5.0,-5.0,2.4,150.6,51.0
1.0,1.0,0.0,1.0,0.0,11.0,-2.0,-1.0,-1.0,9.0,-20.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,-1.0,0.0,-1.0,0.0,3.0,2.0,4.0,1.8,151.0,52.0
1.0,-2.0,-1.0,-2.0,-1.0,-2.0,-1.0,-3.0,-1.0,1.0,1.0,6.0,3.0,0.0,2.0,5.0,0.0,-1.0,1.0,-2.0,1.0,2.0,-4.0,1.0,-5.0,-0.8,151.2,53.0
1.0,-3.0,-1.0,-1.0,0.0,-11.0,-3.0,2.0,3.0,-9.0,6.0,-8.0,0.0,-2.0,-2.0,-3.0,-3.0,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0,2.0,-3.0,151.2,54.0
1.0,1.0,1.0,0.0,-4.0,4.0,5.0,-1.0,-3.0,5.0,-4.0,3.0,-1.0,-1.0,3.0,-2.0,4.0,-2.0,-1.0,-3.0,-1.0,0.0,1.0,-2.0,-1.0,3.0,150.6,55.0
1.0,0.0,0.0,2.0,-2.0,-2.0,0.0,0.0,-3.0,-9.0,12.0,0.0,-3.0,1.0,-1.0,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,2.2,149.0,56.0
1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,-1.0,-1.0,-4.0,3.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,-1.0,5.0,0.0,-1.0,0.6,148.2,57.0
1.0,0.0,-4.0,3.0,-2.0,5.0,0.0,2.0,-2.0,7.0,-3.0,6.0,-1.0,2.0,-2.0,2.0,-1.0,2.0,2.0,3.0,1.0,0.0,-1.0,2.0,4.0,1.0,148.6,58.0
1.0,-3.0,17.0,31.0,0.0,-18.0,-1.0,35.0,-6.0,-6.0,1.0,36.0,4.0,8.0,5.0,28.0,5.0,25.0,-19.0,10.0,-22.0,9.0,-6.0,4.0,-10.0,25.6,148.0,59.0
1.0,-71.0,-38.0,97.0,-18.0,-56.0,-22.0,140.0,-10.0,-29.0,-4.0,188.0,-10.0,-37.0,-12.0,57.0,-13.0,-18.0,-7.0,106.0,-1.0,1.0,1.0,81.0,27.0,39.2,152.0,60.0
1.0,-58.0,15.0,136.0,1.0,-97.0,30.0,138.0,5.0,-165.0,19.0,132.0,-5.0,-19.0,9.0,80.0,8.0,-43.0,23.0,59.0,32.0,-8.0,22.0,85.0,29.0,15.6,147.8,61.0
1.0,2.0,-9.0,12.0,13.0,-4.0,-5.0,0.0,20.0,0.0,7.0,-21.0,10.0,-1.0,1.0,5.0,2.0,-9.0,14.0,0.0,0.0,-30.0,47.0,-3.0,5.0,-1.8,147.6,62.0
1.0,-14.0,-8.0,-18.0,-2.0,-19.0,-5.0,-22.0,1.0,-19.0,-9.0,-37.0,-3.0,-12.0,2.0,-8.0,1.0,-9.0,8.0,-13.0,6.0,1.0,-3.0,1.0,-1.0,-30.4,151.0,63.0
1.0,1.0,3.0,-7.0,1.0,-6.0,1.0,-5.0,-1.0,-11.0,6.0,1.0,2.0,-3.0,1.0,-5.0,-1.0,-1.0,1.0,-2.0,0.0,0.0,-1.0,-4.0,2.0,-7.8,146.4,64.0
1.0,-3.0,2.0,6.0,-1.0,4.0,5.0,7.0,-1.0,6.0,-2.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,-5.0,2.0,-3.0,-1.0,5.0,-1.0,0.0,7.4,144.2,65.0
1.0,6.0,1.0,8.0,3.0,0.0,-4.0,10.0,2.0,1.0,-2.0,11.0,-9.0,0.0,-5.0,2.0,-3.0,6.0,1.0,8.0,5.0,1.0,2.0,-1.0,5.0,17.0,146.6,66.0
1.0,3.0,11.0,-1.0,0.0,20.0,6.0,-1.0,-7.0,22.0,-1.0,17.0,10.0,5.0,-3.0,0.0,-1.0,3.0,-20.0,5.0,-9.0,-20.0,-40.0,12.0,-11.0,17.2,144.6,67.0
1.0,16.0,-4.0,-100.0,-2.0,64.0,-17.0,-101.0,-6.0,189.0,-28.0,-67.0,-10.0,-17.0,2.0,-56.0,0.0,14.0,-16.0,-40.0,-9.0,1.0,-20.0,-11.0,-12.0,2.4,148.8,68.0
1.0,89.0,26.0,-112.0,-1.0,47.0,19.0,-157.0,5.0,-47.0,13.0,-216.0,11.0,57.0,-4.0,-75.0,0.0,10.0,17.0,-115.0,1.0,19.0,-16.0,-150.0,-19.0,-50.2,165.2,69.0
1.0,26.0,-18.0,-61.0,7.0,62.0,-18.0,-54.0,2.0,67.0,-19.0,-69.0,1.0,15.0,4.0,-34.0,2.0,23.0,-14.0,-32.0,-6.0,4.0,-1.0,-19.0,-17.0,-39.0,154.2,70.0
1.0,6.0,-7.0,10.0,6.0,14.0,-7.0,7.0,0.0,15.0,4.0,15.0,-1.0,28.0,-3.0,26.0,7.0,79.0,-9.0,4.0,16.0,166.0,-5.0,9.0,7.0,2.2,144.2,71.0
1.0,98.0,16.0,108.0,0.0,80.0,19.0,100.0,1.0,93.0,18.0,91.0,-5.0,82.0,9.0,86.0,-1.0,77.0,11.0,61.0,-17.0,62.0,3.0,8.0,10.0,109.0,142.6,72.0
1.0,101.0,-8.0,109.0,-30.0,91.0,-21.0,72.0,-49.0,72.0,-28.0,128.0,-43.0,94.0,-9.0,115.0,-13.0,53.0,-16.0,140.0,-20.0,6.0,-5.0,122.0,-8.0,113.4,143.6,73.0
1.0,11.0,-6.0,2.0,1.0,6.0,6.0,32.0,25.0,-4.0,17.0,7.0,30.0,13.0,-13.0,3.0,-12.0,8.0,8.0,45.0,6.0,1.0,-3.0,108.0,-21.0,-1.2,136.0,74.0
1.0,-12.0,-13.0,-31.0,27.0,16.0,-16.0,-8.0,21.0,43.0,-14.0,-26.0,6.0,0.0,7.0,-12.0,14.0,35.0,10.0,-31.0,22.0,68.0,20.0,-13.0,10.0,-55.4,130.6,75.0
1.0,24.0,-3.0,29.0,8.0,38.0,0.0,46.0,4.0,13.0,3.0,22.0,-6.0,21.0,11.0,16.0,9.0,19.0,22.0,-1.0,10.0,31.0,11.0,-11.0,9.0,15.6,127.2,76.0
1.0,43.0,-16.0,87.0,-9.0,26.0,4.0,93.0,-1.0,-2.0,25.0,91.0,15.0,37.0,-13.0,62.0,-10.0,17.0,-4.0,53.0,-16.0,5.0,12.0,25.0,-3.0,54.2,126.4,77.0
1.0,-22.0,-5.0,20.0,-11.0,-25.0,-13.0,44.0,-26.0,-22.0,-13.0,63.0,-24.0,-21.0,-5.0,-4.0,-12.0,-13.0,-17.0,9.0,-19.0,6.0,-5.0,32.0,-31.0,-5.6,120.8,78.0
1.0,-55.0,17.0,-56.0,20.0,-50.0,9.0,-44.0,11.0,-70.0,10.0,-38.0,10.0,-43.0,7.0,-44.0,10.0,-28.0,9.0,-65.0,8.0,-5.0,-5.0,-90.0,0.0,-53.0,126.4,79.0
1.0,-84.0,8.0,-106.0,23.0,-75.0,2.0,-145.0,29.0,-45.0,-11.0,-163.0,8.0,-89.0,-11.0,-94.0,-6.0,-156.0,-33.0,-68.0,-21.0,-146.0,-35.0,-11.0,4.0,-72.8,153.0,80.0
1.0,-38.0,15.0,-65.0,-5.0,-47.0,11.0,-79.0,-7.0,-21.0,6.0,-88.0,-8.0,-50.0,9.0,-56.0,5.0,-93.0,18.0,-11.0,20.0,-180.0,25.0,12.0,3.0,-43.0,159.4,81.0
1.0,-39.0,7.0,-53.0,-13.0,-46.0,8.0,-64.0,-3.0,-80.0,7.0,-74.0,-1.0,-61.0,4.0,-72.0,10.0,-38.0,14.0,-90.0,12.0,-11.0,-23.0,-77.0,-38.0,-28.8,162.0,82.0
1.0,-15.0,1.0,-38.0,-26.0,-19.0,11.0,-57.0,-18.0,-15.0,-2.0,-44.0,0.0,-31.0,15.0,-40.0,-2.0,14.0,24.0,-96.0,6.0,-30.0,53.0,-174.0,89.0,-13.6,152.2,83.0
1.0,-45.0,-12.0,-45.0,-6.0,-26.0,-7.0,-34.0,8.0,20.0,-11.0,-7.0,22.0,-14.0,2.0,-20.0,5.0,-5.0,-3.0,4.0,17.0,12.0,0.0,15.0,10.0,-41.6,143.0,84.0
1.0,-56.0,-3.0,-29.0,-1.0,-80.0,-5.0,-16.0,0.0,-98.0,3.0,-5.0,1.0,-27.0,-11.0,-12.0,-1.0,1.0,-20.0,-21.0,1.0,-5.0,-29.0,-2.0,10.0,-42.4,135.0,85.0
1.0,-4.0,1.0,10.0,-2.0,-2.0,-2.0,4.0,-1.0,7.0,-3.0,-2.0,1.0,-1.0,6.0,6.0,4.0,10.0,0.0,15.0,-5.0,55.0,6.0,-4.0,0.0,7.2,123.6,86.0
